site_description,site,unit,unitclass,commodity_group,commodity_description,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M
Floor Sol Greensboro,FSG,SQYD,Area,1CBL,Carpet Roll,1.2701,1.2492,1.2283,1.2076,1.1555,1.1555,1.1555,1.1555,1.1555,1.1555
Floor Sol Greensboro,FSG,SQYD,Area,1CPT,Carpet Tile,2.1592,2.1237,2.0882,2.0528,1.9645,1.9645,1.9645,1.9645,1.9645,1.9645
Diverzify INDY,DIN,CWT,Weight,1VNL,LVT,25.47,20.95,15.72,12.51,12.51,8.87,6.46,6.46,6.46,6.46
Diverzify INDY,DIN,CWT,Weight,1VNL,LVP,25.47,20.95,15.72,12.51,12.51,8.87,6.46,6.46,6.46,6.46
Diverzify INDY,DIN,CWT,Weight,1VNL,VCT,25.47,20.95,15.72,12.51,12.51,8.87,6.46,6.46,6.46,6.46
Diverzify INDY,DIN,SQYD,Area,1CBL,Carpet Roll,0.3748,0.3658,0.3598,0.3538,0.3388,0.3388,0.3388,0.3388,0.3388,0.3388
Diverzify INDY,DIN,SQYD,Area,1CPT,Carpet Tile,0.6371,0.6218,0.6116,0.6014,0.5759,0.5759,0.5759,0.5759,0.5759,0.5759
ProSpectra Union City,PSUC,CWT,Weight,1VNL,LVT,45.48,36.85,31.37,26.38,26.38,22.93,18.01,18.01,18.01,18.01
ProSpectra Union City,PSUC,CWT,Weight,1VNL,LVP,45.48,36.85,31.37,26.38,26.38,22.93,18.01,18.01,18.01,18.01
ProSpectra Union City,PSUC,CWT,Weight,1VNL,VCT,45.48,36.85,31.37,26.38,26.38,22.93,18.01,18.01,18.01,18.01
ProSpectra Union City,PSUC,SQYD,Area,1CBL,Carpet Roll,0.8818,0.862,0.8422,0.8343,0.8106,0.8106,0.8106,0.8106,0.8106,0.8106
ProSpectra Union City,PSUC,SQYD,Area,1CPT,Carpet Tile,1.499,1.4654,1.4318,1.4184,1.378,1.378,1.378,1.378,1.378,1.378
Spectra Tigard,SPTG,CWT,Weight,1VNL,LVT,46.49,37.11,31.59,26.57,26.57,23.22,19.13,19.13,19.13,19.13
Spectra Tigard,SPTG,CWT,Weight,1VNL,LVP,46.49,37.11,31.59,26.57,26.57,23.22,19.13,19.13,19.13,19.13
Spectra Tigard,SPTG,CWT,Weight,1VNL,VCT,46.49,37.11,31.59,26.57,26.57,23.22,19.13,19.13,19.13,19.13
Spectra Tigard,SPTG,SQYD,Area,1CBL,Carpet Roll,1.0587,1.0443,1.0204,1.0012,0.9821,0.9821,0.9821,0.9821,0.9821,0.9821
Spectra Tigard,SPTG,SQYD,Area,1CPT,Carpet Tile,1.7998,1.7753,1.7346,1.7021,1.6695,1.6695,1.6695,1.6695,1.6695,1.6695
Beckers Flooring Minneapolis,BSC,CWT,Weight,1VNL,LVT,27.51,25.09,19.99,16.7,16.7,13.05,10.96,10.96,10.96,10.96
Beckers Flooring Minneapolis,BSC,CWT,Weight,1VNL,LVP,27.51,25.09,19.99,16.7,16.7,13.05,10.96,10.96,10.96,10.96
Beckers Flooring Minneapolis,BSC,CWT,Weight,1VNL,VCT,27.51,25.09,19.99,16.7,16.7,13.05,10.96,10.96,10.96,10.96
Beckers Flooring Minneapolis,BSC,SQYD,Area,1CBL,Carpet Roll,0.5844,0.5632,0.5547,0.5462,0.5293,0.5293,0.5293,0.5293,0.5293,0.5293
Beckers Flooring Minneapolis,BSC,SQYD,Area,1CPT,Carpet Tile,0.9934,0.9574,0.9431,0.9286,0.8999,0.8999,0.8999,0.8999,0.8999,0.8999
ProSpectra Sacramento,PSS,CWT,Weight,1VNL,LVT,44.85,36.34,30.36,26.01,26.01,22.61,18.54,18.54,18.54,18.54
ProSpectra Sacramento,PSS,CWT,Weight,1VNL,LVP,44.85,36.34,30.36,26.01,26.01,22.61,18.54,18.54,18.54,18.54
ProSpectra Sacramento,PSS,CWT,Weight,1VNL,VCT,44.85,36.34,30.36,26.01,26.01,22.61,18.54,18.54,18.54,18.54
ProSpectra Sacramento,PSS,SQYD,Area,1CBL,Carpet Roll,0.882,0.8622,0.8424,0.8345,0.8108,0.882,0.8622,0.8424,0.8345,0.8108
ProSpectra Sacramento,PSS,SQYD,Area,1CPT,Carpet Tile,1.4994,1.4658,1.4322,1.4187,1.3784,1.4994,1.4658,1.4322,1.4187,1.3784
Spectra Tukwila,SPK,CWT,Weight,1VNL,LVT,47.47,37.9,32.29,27.13,27.13,23.71,19.64,19.64,19.64,19.64
Spectra Tukwila,SPK,CWT,Weight,1VNL,LVP,47.47,37.9,32.29,27.13,27.13,23.71,19.64,19.64,19.64,19.64
Spectra Tukwila,SPK,CWT,Weight,1VNL,VCT,47.47,37.9,32.29,27.13,27.13,23.71,19.64,19.64,19.64,19.64
Spectra Tukwila,SPK,SQYD,Area,1CBL,Carpet Roll,1.0032,0.9935,0.9743,0.9648,0.936,1.0032,0.9935,0.9743,0.9648,0.936
Spectra Tukwila,SPK,SQYD,Area,1CPT,Carpet Tile,1.7054,1.689,1.6564,1.6402,1.5911,1.7054,1.689,1.6564,1.6402,1.5911
Flooring Solutions N Charleston,FSC,CWT,Weight,1VNL,LVT,20.93,19.08,14.79,11.9,11.9,9.31,7.77,7.77,7.77,7.77
Flooring Solutions N Charleston,FSC,CWT,Weight,1VNL,LVP,20.93,19.08,14.79,11.9,11.9,9.31,7.77,7.77,7.77,7.77
Flooring Solutions N Charleston,FSC,CWT,Weight,1VNL,VCT,20.93,19.08,14.79,11.9,11.9,9.31,7.77,7.77,7.77,7.77
Flooring Solutions N Charleston,FSC,SQYD,Area,1CBL,Carpet Roll,0.7967,0.7836,0.7705,0.7574,0.7248,0.7248,0.7248,0.7248,0.7248,0.7248
