po_no,account,account_description,siteid,site,supplierid,suppliername,partnumber,partdescription,commodity_group,commoditydescription,quantity,uom,po_freight_cost,conversion_code
36545,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",1000005677,"Interface Panola Mountain (1251602500) 19.69""x19.69"" Glasbac Blue Lichen (107304)",1CPT,Carpet Tile,17.94,SQYD,132.21,Carpet_Tile_1CPT_SQYD
36545,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",1000005743,"Interface Desert Veins 168290AB00 19.69""x39.38"" Glasbac Acacia 108145",1CPT,Carpet Tile,35.88,SQYD,132.21,Carpet_Tile_1CPT_SQYD
36777,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,126695,Tarkett USA Inc,210075-001,Tarkett Suede Tones (11531) Stratatec Pattrened Symtex 18in x 36in - Caviar+Creme (57209),1CPT,Carpet Tile,384,SQYD,235.2,Carpet_Tile_1CPT_SQYD
37788,2008,Received Not Yet Invoiced,SPT,Spectra Tampa,102775,"Interface Americas, Inc.",207650-012,Interface Open Air 404 (1633302500) Tufted Texture Loop 19.69in x 19.69in - Oat (107707),1CPT,Carpet Tile,167.44,SQYD,180.71,Carpet_Tile_1CPT_SQYD
39154,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,107768,Milliken & Company,180797-015,Milliken Landmark Artifact Tufted Texture Loop 1m x 1m - Linsey (ART83),1CPT,Carpet Tile,37.08,SQYD,97.54,Carpet_Tile_1CPT_SQYD
39280,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",172638-005,Shaw Philadelphia Succession Tile II (54695) Undefined 24in x 24in - After Dark (00500),1CPT,Carpet Tile,3,SQYD,36,Carpet_Tile_1CPT_SQYD
39964,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,103423,"Shaw Industries, Inc.",187436-006,Shaw Contract Tinge Tile (5T156) Multi Level Pattern Loop 9in x 36in - burnished pewter (56516),1CPT,Carpet Tile,17,SQYD,124.84,Carpet_Tile_1CPT_SQYD
39979,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,121550,Mohawk Industries,197181-002,Mohawk Academic View Tile (BT433) Tufted Textured Multi Colored Loop 24in x 24in - Cadet (569),1CPT,Carpet Tile,138.71,SQYD,898.57,Carpet_Tile_1CPT_SQYD
39979,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,121550,Mohawk Industries,195486-004,Mohawk Adaptable Tile (BT432) Tufted Textured Pattern Multi Colored Loop 24in x 24in - Cadet (569),1CPT,Carpet Tile,400.95,SQYD,898.57,Carpet_Tile_1CPT_SQYD
39979,2008,Received Not Yet Invoiced,SPW,Spectra Longwood,121550,Mohawk Industries,195486-004,Mohawk Adaptable Tile (BT432) Tufted Textured Pattern Multi Colored Loop 24in x 24in - Cadet (569),1CPT,Carpet Tile,260,SQYD,898.57,Carpet_Tile_1CPT_SQYD
