site_description,site,unit,unitclass,commodity_group,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M,source,statistic,metric
SPW,SPW,SQYD,Area,1CPT,1.49982933333333,1.0673823076407938,1.0808468337621817,1.0532982965161648,0.572003378725444,0.6556905933584862,,,,,recommended_median,1.4638212402893067,median
SPW,SPW,SQYD,Area,1CPT,1.72261802332488,1.1408541885793628,1.140778638304233,0.9568431732892974,0.7196049719673374,0.6959862115389235,,,,,recommended_wavg,1.1230322879797614,weighted average
SPW,SPW,SQYD,Area,1CPT,3.405761978361664,1.398221643442923,1.4635054447270173,1.1141219862421032,1.010914754240777,0.9111333401574989,,,,,recommended_q3,2.8232182005124042,Q3
SPW,SPW,SQYD,Area,1CPT,,,,,,,,,,,recommended_min,1.1230322879797614,unknown
SPW,SPW,SQYD,Area,1CPT,,,,,,,,,,,recommended_middle,1.4638212402893067,unknown
SPW,SPW,SQYD,Area,1CPT,,,,,,,,,,,recommended_max,2.8232182005124042,unknown
Jacksonville,SPJ,CWT,Weight,1VNL,0.3048614150943396,0.2779344339622642,0.21541584905660377,0.17329245283018865,0.17329245283018865,0.13583462264150942,0.11317330188679244,0.11317330188679244,0.11317330188679244,0.11317330188679244,vendor,,baseline
Jacksonville,SPJ,CWT,Weight,1VNL,0.3048614150943396,0.2779344339622642,0.21541584905660377,0.17329245283018865,0.17329245283018865,0.13583462264150942,0.11317330188679244,0.11317330188679244,0.11317330188679244,0.11317330188679244,vendor,,baseline
Jacksonville,SPJ,CWT,Weight,1VNL,0.3048614150943396,0.2779344339622642,0.21541584905660377,0.17329245283018865,0.17329245283018865,0.13583462264150942,0.11317330188679244,0.11317330188679244,0.11317330188679244,0.11317330188679244,vendor,,baseline
SPJ,SPJ,CWT,Weight,1VNL,0.7955649015484607,0.187058888500266,0.1518199220075796,0.122791467143514,0.1303891594461138,0.12717668373524052,0.09091973811015083,0.07950857146854395,0.05694767128767708,0.040547409576809336,georgia_historical_market_median,0.144475624536518,median
SPJ,SPJ,CWT,Weight,1VNL,0.9526916333745279,0.30591915336977965,0.18338925148017143,0.14579704681157465,0.1322647474085662,0.1288273908817066,0.06920356344517205,0.07571257687666713,0.05694767128767708,0.042509228195158906,georgia_historical_market_wavg,0.08716593855618401,weighted average
SPJ,SPJ,CWT,Weight,1VNL,6.266967305524235,0.2429096950278864,0.1823934008913438,0.1753324036415895,0.1659738257129529,0.1676748317647848,0.09332199142667025,0.08804663744032758,0.05694767128767708,0.04331738487739701,georgia_historical_market_q3,0.298258215119411,Q3
SPJ,SPJ,CWT,Weight,1VNL,0.9503294475418139,0.1936428122474628,0.134457412616658,0.12143842252236839,0.11406491388379619,0.09774089029834823,0.09225185749224844,0.08557196959480355,0.05694767128767708,0.040547409576809336,all_states_historical_market_median,0.155884012226477,median
SPJ,SPJ,CWT,Weight,1VNL,0.8846684310311831,0.2849161614934994,0.15196099031036106,0.14448162579539714,0.11916166056655547,0.11948940090974465,0.09746371398141278,0.0925732478382014,0.05694767128767708,0.042509228195158906,all_states_historical_market_wavg,0.09770314871080345,weighted average
SPJ,SPJ,CWT,Weight,1VNL,2.5054284282612236,0.25562728392851397,0.1764428458852125,0.1737927317207646,0.1618177785330669,0.16495978759602,0.09332214096204179,0.09547064097689963,0.05694767128767708,0.04331738487739701,all_states_historical_market_q3,0.602859275420566,Q3
SPJ,SPJ,CWT,Weight,1VNL,1.35890736342042,0.2501419158641652,0.1938748099341096,0.15596406019976342,0.15596296524515882,0.12225160003457158,0.10185592309937035,0.10185606191212428,0.07704503411645472,0.06740047002690576,georgia_historical_xgs_median,0.161562341611758,median
