site_description,site,site_description,unit,unitclass,freightclass,oldfreightclass,commodity_group,commodity_description,origin,origin_zip,destination,destination_zip,minimum_charge,ftl_flat_rate,old_discount,new_discount,L5C,5C,1M,2M,3M,5M,10M,20M,30M,40M
ProSpectra Cerritos,PSC,,SQYD,Area,70,100,1CPT,Carpet Tile,GA,30720,CA,90703,84.89,4320,0.7795,0.7995,1.2934,1.2653,1.2374,1.2095,1.1674,1.2934,1.2653,1.2374,1.2095,1.1674
Diverzify St. Louis,DSL,,CWT,Weight,70,73,1VNL,LVT,GA,30720,MO,63139,115.21,1383,0.7795,0.7995,25.55,21.01,15.02,8.9,8.9,6.48,6.48,6.48,6.48,6.48
Diverzify St. Louis,DSL,,CWT,Weight,70,82,1VNL,LVP,GA,30720,MO,63139,115.21,1383,0.7795,0.7995,25.55,21.01,15.02,8.9,8.9,6.48,6.48,6.48,6.48,6.48
Diverzify St. Louis,DSL,,CWT,Weight,70,91,1VNL,VCT,GA,30720,MO,63139,115.21,1383,0.7795,0.7995,25.55,21.01,15.02,8.9,8.9,6.48,6.48,6.48,6.48,6.48
Diverzify St. Louis,DSL,,SQYD,Area,150,100,1CBL,Carpet Roll,GA,30720,MO,63139,60.64,1383,0.7795,0.7995,0.4365,0.4284,0.4161,0.408,0.3998,0.3998,0.3998,0.3998,0.3998,0.3998
Diverzify St. Louis,DSL,,SQYD,Area,70,109,1CPT,Carpet Tile,GA,30720,MO,63139,60.64,1383,0.7795,0.7995,0.7422,0.7283,0.7075,0.6937,0.6797,0.6797,0.6797,0.6797,0.6797,0.6797
Spectra Huntsville,SPHV,,CWT,Weight,70,118,1VNL,LVT,GA,30720,AL,35758,112.46,774.71,0.7134,0.7394,16.4,14.95,11.11,8.37,8.37,6.67,5.64,5.64,5.64,5.64
Spectra Huntsville,SPHV,,CWT,Weight,70,127,1VNL,LVP,GA,30720,AL,35758,112.46,774.71,0.7134,0.7394,16.4,14.95,11.11,8.37,8.37,6.67,5.64,5.64,5.64,5.64
Spectra Huntsville,SPHV,,CWT,Weight,70,136,1VNL,VCT,GA,30720,AL,35758,112.46,774.71,0.7134,0.7394,16.4,14.95,11.11,8.37,8.37,6.67,5.64,5.64,5.64,5.64
Spectra Huntsville,SPHV,,SQYD,Area,150,145,1CBL,Carpet Roll,GA,30720,AL,35758,116.87,774.71,0.7134,0.7394,0.6617,0.6494,0.6308,0.6184,0.6061,0.6061,0.6061,0.6061,0.6061,0.6061
Spectra Huntsville,SPHV,,SQYD,Area,70,154,1CPT,Carpet Tile,GA,30720,AL,35758,116.87,774.71,0.7134,0.7394,1.1249,1.1039,1.0724,1.0513,1.0303,1.0303,1.0303,1.0303,1.0303,1.0303
Spectra Austin,SPA,,CWT,Weight,70,163,1VNL,LVT,GA,30720,TX,78754,108.59,2287.23,0.7795,0.7995,27.51,25.09,19.6,13.05,13.05,10.96,10.96,10.96,10.96,10.96
